ciclo,target,s2_norm,s3_norm,s4_norm,s7_norm,s8_norm,s9_norm,s11_norm,s12_norm,s13_norm,s14_norm,s15_norm,s17_norm,s20_norm,s21_norm,s2_norm_mm,s3_norm_mm,s4_norm_mm,s7_norm_mm,s8_norm_mm,s9_norm_mm,s11_norm_mm,s12_norm_mm,s13_norm_mm,s14_norm_mm,s15_norm_mm,s17_norm_mm,s20_norm_mm,s21_norm_mm
1,0,-1.1603549519779377,-0.32667813931063217,-0.6186571097577367,-0.23457640801526133,-0.6839730421537057,-0.48922934017241654,-0.47081719874021455,-0.10341325736614919,-0.44108645555357456,-0.3882752443594322,-0.15110366519414964,-0.5191467791944568,-0.16115069392899803,0.44411997068290426,-1.1603549519779377,-0.32667813931063217,-0.6186571097577367,-0.23457640801526133,-0.6839730421537057,-0.48922934017241654,-0.47081719874021455,-0.10341325736614919,-0.44108645555357456,-0.3882752443594322,-0.15110366519414964,-0.5191467791944568,-0.16115069392899803,0.44411997068290426
2,0,-2.041969770629132,0.7582687149190545,-0.5264241812252407,-0.03830498934997298,-0.36363921680379385,-0.32450388456621176,-0.7461024486101947,-0.08406855405396271,-0.040918315231024883,-0.21543914135954376,-0.011781214107836075,-0.5191467791944568,0.4736512817222903,0.5203206748956329,-1.6011623613035348,0.21579528780421114,-0.5725406454914888,-0.13644069868261716,-0.5238061294787497,-0.40686661236931415,-0.6084598236752046,-0.09374090571005594,-0.24100238539229973,-0.301857192859488,-0.08144243965099286,-0.5191467791944568,0.15625029389664613,0.48222032278926863
3,0,0.31539159228586655,-0.5834792854798139,-0.14505656661890393,-0.0782862042632717,-0.36363921680379385,-0.5584335256638007,-0.4364065425064762,-0.09567537604129218,-0.20098557136077266,-0.41477678015275055,-0.552995351020059,-0.5191467791944568,-0.37275135247940744,0.21481229596865115,-0.9623110434404011,-0.05062956995713053,-0.43004595253396044,-0.11705586720950201,-0.4704171585870978,-0.4573889168008097,-0.5511087299522951,-0.09438572915380135,-0.2276634473817907,-0.33949705529057556,-0.23862674344068158,-0.5191467791944568,-0.020083588228705058,0.3930843138490627
4,0,-1.0836927938344312,-0.40721341000274647,0.18864009616163777,-0.1764219135958952,-0.4437226731394509,-0.11396720757836408,-0.4364065425064762,-0.258170883863421,-0.2810191994238268,-0.040298556986325534,-0.5154854603429966,-1.1120341161615548,0.3466908865920326,-0.4992165249876681,-0.9926564810389086,-0.1397755299685345,-0.27537444036006087,-0.1318973788061003,-0.4637435372251861,-0.37153348949519827,-0.5224331830908404,-0.13533201783120627,-0.24100238539229973,-0.264697430714513,-0.30784142266626036,-0.6673686134362313,0.07161003047647936,0.17000910413988005
5,0,-0.37456783100634405,-1.0104681734889964,-0.36786645015250297,-0.11826741917657041,-0.2034723041288379,0.020542336052780528,-0.47081719874021455,0.004917081181936723,-0.12095194329407902,-0.2701705739761646,-0.2439852992517026,-0.5191467791944568,-0.16115069392899803,-0.18100802869190244,-0.8690387510323957,-0.3139140586726269,-0.2938728423185493,-0.12917138688019433,-0.41168929060591647,-0.2931183243856025,-0.5121099862207152,-0.10728219802857768,-0.2169922969726556,-0.26579205936684336,-0.29507019798334877,-0.6377242465878764,0.025057885595383883,0.09980567757352354
6,0,0.1812328155345126,-0.3585883409055935,-0.777214840830498,-0.0964594837693391,-0.6839730421537057,-0.4989764085515197,-0.29876391757149834,-0.12662690134072016,-0.44108645555357456,-0.05758216728632486,-0.7012487284580707,-0.5191467791944568,0.7698922036928815,0.8738072749935818,-0.693993489937911,-0.3213597723781213,-0.37442984207054075,-0.12371940302838513,-0.45706991586388135,-0.32742800507992204,-0.4765523081125124,-0.11050631524726807,-0.25434132340280874,-0.23109041068675693,-0.36276661972913576,-0.6179613353556398,0.1491969386116335,0.22880594381019992
7,0,-1.3520103473369214,-1.1654605812360896,-0.7875780912273996,-0.1546139781886639,-0.5238061294787497,-0.07644099431893224,-0.6084598236752169,-0.06085491007939172,-0.3610528274905204,-0.3139557200694823,-0.06893914275862813,-1.1120341161615548,0.21973049146177498,0.3277022281356723,-0.7879958981377696,-0.4419456022149739,-0.4334510205215206,-0.12813291376556782,-0.4666036606660054,-0.2915727178283521,-0.4953962389071845,-0.10341325736614289,-0.26958582398676756,-0.24292831202714624,-0.32079126587620616,-0.6885431611850563,0.159273160447368,0.24293398442812456
8,0,-0.6237198449729575,-1.1365894464596615,-0.4352275777324113,0.05619606408144533,-0.4437226731394509,-0.15587960160829484,-0.29876391757149834,-0.033772325442348254,-0.6011537116833223,-0.42111410392939425,-0.08322862492132614,0.07374055777264124,-0.5843520110298168,0.6078103723250612,-0.7674613914921681,-0.5287760827455599,-0.4336730901728819,-0.10509179153469117,-0.4637435372251861,-0.2746110783008449,-0.4708171987402237,-0.09470814087566856,-0.31103180994883695,-0.26520153601492724,-0.2910959357568461,-0.5932576963153441,0.06632001401271989,0.2885435329152416
9,0,-0.06791919843210087,-1.0606127759953987,-0.777214840830498,-0.27455762292851876,-0.6839730421537057,-0.36397951150141106,0.07975330099969687,0.1403300043670661,-0.44108645555357456,-0.21947198376285773,0.21149194468436402,-1.1120341161615548,0.6006116768525179,-0.11821300392402496,-0.6897344811521606,-0.5878690486622086,-0.47184439580150594,-0.12392132835622756,-0.4882134822172438,-0.28454090421201894,-0.4096426987691214,-0.0685927914042536,-0.3254823261271411,-0.2601204746535862,-0.23525283793004498,-0.6508995207427009,0.12568575432825302,0.24334836215532313
10,0,-0.7003820031164638,-0.3692250747706151,-0.0973856147931089,-0.1473446663862535,-0.36363921680379385,-0.0389147810595004,-0.19553194887025885,0.004917081181936723,-0.5211200836202682,0.027107523183635157,0.49728158793835603,0.07374055777264124,-0.11883056221889209,-0.21064163588574833,-0.690799233348591,-0.5660046512730493,-0.4343985177006663,-0.12626366215923016,-0.4757560556758988,-0.2599782918967671,-0.3882316237792352,-0.06124180414563457,-0.3450461018764538,-0.23139767486986407,-0.1619993953432049,-0.5784355128911666,0.10123412267353851,0.19794936235121596
