ciclo,target,s2_norm,s3_norm,s4_norm,s7_norm,s8_norm,s9_norm,s11_norm,s12_norm,s13_norm,s14_norm,s15_norm,s17_norm,s20_norm,s21_norm,s2_norm_mm,s3_norm_mm,s4_norm_mm,s7_norm_mm,s8_norm_mm,s9_norm_mm,s11_norm_mm,s12_norm_mm,s13_norm_mm,s14_norm_mm,s15_norm_mm,s17_norm_mm,s20_norm_mm,s21_norm_mm
1,0,0.6412057643959863,-0.8858664339275808,0.4871017075926665,-0.49627163290224363,0.19694497756037277,-0.3824989414216893,-0.22994260510402165,-0.5715550775203933,0.19918256896541653,-0.4251469463327606,0.7044790792974931,-0.5191467791944568,-0.2881110890592256,-0.4653495453375693,0.6412057643959863,-0.8858664339275808,0.4871017075926665,-0.49627163290224363,0.19694497756037277,-0.3824989414216893,-0.22994260510402165,-0.5715550775203933,0.19918256896541653,-0.4251469463327606,0.7044790792974931,-0.5191467791944568,-0.2881110890592256,-0.4653495453375693
2,0,-0.2595745937910846,0.6017567737626774,-0.7440524395603653,-0.3036348701382018,0.5172788029102846,-0.4692478499953349,0.2862172384021759,-0.39745274771097894,0.19918256896541653,-0.531729209849327,-0.13681418303145162,0.07374055777264124,0.21973049146177498,-0.1880636494523491,0.19081558530245085,-0.14205483008245168,-0.12847536598384937,-0.3999532515202227,0.3571118902353287,-0.4258733957085121,0.02813731664907712,-0.4845039126156861,0.19918256896541653,-0.47843807809104383,0.2838324481330207,-0.22270311071090781,-0.034190298798725316,-0.3267065973949592
3,0,0.008742959711623347,0.44372529919701653,0.5451359098153868,-0.5108102565071059,0.43719534657098574,-0.4643743158057833,0.32062789463591423,-0.3858459257236934,0.19918256896541653,-0.213134659986214,0.6562520769983674,0.07374055777264124,-1.3884345135214387,-0.252269798372336,0.13012471010550836,0.05320521301070439,0.09606172594922936,-0.43690558651585043,0.3838063756805477,-0.4387070357409358,0.12563417597802282,-0.45161791698502185,0.19918256896541653,-0.39000360538943385,0.40797232442146963,-0.12388855454972479,-0.4856050370396298,-0.30189433105408475
4,0,0.5070469876448502,-0.8190069639190558,0.13267854401832135,-0.6961777074687372,0.3571118902353287,-0.13736017168810524,0.59591314450587,-0.48256944228449383,0.519317081224912,-0.4205379835861011,1.0224200574175477,-0.5191467791944568,-0.7113124061600745,-0.3235315680527695,0.22435527949034384,-0.16484783122173566,0.10521593046650236,-0.5017236167540722,0.377132754319243,-0.3633703197277282,0.2432039181099846,-0.4593557983098899,0.27921619703029044,-0.3976371999386007,0.5615842576704891,-0.22270311071090781,-0.542031879319741,-0.30730364030375595
5,0,0.5070469876448502,0.2279515550784994,0.9358304497789351,-0.48173300929742274,0.19694497756037277,-0.6978166034844968,-0.6084598236752169,-0.5251277895712073,0.43928345315821843,-0.056429926599633785,0.8956009032235989,0.6666278947397393,-0.9229130647105139,-0.2938979608589236,0.2808936211212451,-0.08628795396168865,0.2713388343289889,-0.49772549526274223,0.3410951989674689,-0.4302595764790819,0.07287116975294432,-0.4725101965621533,0.311229648255876,-0.3293957452708073,0.6283875867811111,-0.044836909620778395,-0.6182081163978955,-0.3046225044147895
6,0,0.6412057643959863,0.8631165201597453,-0.5512959821778284,-0.03830498934997298,-0.043305391453882,-0.22069760632909136,0.6991451132071095,-0.35876334108665,-0.44108645555357456,-0.1900898462529165,0.9509726466040576,0.07374055777264124,0.09277009633151731,-0.10762957278336752,0.34094564500036867,0.07194612505855034,0.13423303157785269,-0.4211554109439473,0.2770284338972438,-0.3953325814540835,0.1772501603286385,-0.45355238731623615,0.18584363095430093,-0.3061780954344922,0.6821517634182688,-0.025073998388541793,-0.49971174760966003,-0.27179034914288586
7,0,1.9827935319086545,0.8980657885733089,1.0249544031923605,-0.663465804357849,-0.12338884778953907,-0.7543496000830823,0.3550385508696526,-0.4051906290358359,-0.3610528274905204,-0.24885412127285134,-0.33865311857958885,-0.5191467791944568,-0.24579095734914974,-0.537316877094045,0.5754953431301237,0.189963219846373,0.2614789418084967,-0.4557711814316476,0.21982596508484623,-0.4466207269725119,0.20264850183449767,-0.44664356470475036,0.1077155654621836,-0.2979889562685435,0.536322494561432,-0.09565582421795824,-0.4634373490010157,-0.30972271027876574
8,0,0.21956389460626574,0.7035655121848005,-0.31501387312825707,-0.754332201888062,0.11686152122107392,-0.5345532081350954,0.3894492071034154,-0.21174359591423508,0.1191489408987229,-0.5634158287326504,0.5865908514552106,0.07374055777264124,-0.5843520110298168,-1.0495549443018306,0.5310039120646415,0.2541635063886764,0.18941733994140245,-0.4930913089886994,0.20695540960187467,-0.45761228711783486,0.2259985899931124,-0.41728106860593595,0.109144737391751,-0.33116731532655685,0.5426060391731543,-0.0744812764691333,-0.4785516817546159,-0.40220173953164884
9,0,0.06623957831925309,0.8995853219825928,0.07982596699407546,-0.3399814291502953,0.3571118902353287,-0.593035618409537,0.8711983943758257,-0.320073934462321,-0.040918315231024883,-0.37617671714943796,0.4597716972612618,-0.5191467791944568,0.09277009633151731,0.20422886482799368,0.4793634305373761,0.32587704145466717,0.17724052072503277,-0.4760791001177656,0.22363946300559176,-0.4726593239280239,0.29768745714674716,-0.4064802759233121,0.09247106487810924,-0.33616835997354366,0.5334022234051663,-0.1238885545497248,-0.41507148418948997,-0.33482056126946635
10,0,0.8520266992908466,-0.6169090204840936,0.08086229203376563,-0.6089459658397294,0.43719534657098574,-0.5379646820677549,0.59591314450587,-0.327811815787178,-0.12095194329407902,-0.07544189792961732,0.4008275833401365,0.6666278947397393,0.1774103597516991,0.0038492352315693404,0.5166297574127232,0.23159843526079107,0.16760269785590606,-0.489365786689962,0.2449950513621312,-0.4791898597419971,0.3275100258826595,-0.39861342990969867,0.0711287640608904,-0.310095713769151,0.5201447593986633,-0.044836909620778395,-0.3558232997953711,-0.3009535816193628
